temp,cs,signal,snr,distn,distf,refp
30.2,265f,0.189421,68,295.5407,0.0,1.1
30.2,2657,0.189422,68,295.5414,0.0,1.1
30.2,265d,0.189421,68,295.5407,0.0,1.1
30.2,266a,0.189424,68,295.5434,0.0,1.1
30.2,2663,0.189423,68,295.542,0.0,1.1
30.2,2663,0.189422,68,295.5414,0.0,1.1
30.2,2667,0.189415,68,295.5366,0.0,1.1
30.1,2665,0.189417,68,295.538,0.0,1.1
30.2,266b,0.189414,68,295.5359,0.0,1.1
30.2,2669,0.189412,68,295.5346,0.0,1.1
30.2,265d,0.189407,68,295.5312,0.0,1.1
30.2,265d,0.18941,68,295.5332,0.0,1.1
30.2,2656,0.18941,68,295.5332,0.0,1.1
30.2,2666,0.189411,68,295.5339,0.0,1.1
30.1,265c,0.189413,68,295.5353,0.0,1.1
30.2,265d,0.18941,68,295.5332,0.0,1.1
30.2,2658,0.18942,68,295.54,0.0,1.1
30.1,264a,0.189423,68,295.542,0.0,1.1
30.2,266a,0.189418,68,295.5386,0.0,1.1
30.2,2668,0.189418,68,295.5386,0.0,1.1
30.1,2667,0.189417,68,295.538,0.0,1.1
30.2,2651,0.18942,68,295.54,0.0,1.1
30.1,2661,0.189425,68,295.544,0.0,1.1
30.2,265c,0.189415,68,295.5366,0.0,1.1
30.2,266f,0.189415,68,295.5366,0.0,1.1
30.2,2675,0.189413,68,295.5353,0.0,1.1
30.2,2670,0.189403,68,295.5285,0.0,1.1
30.2,2676,0.189644,68,295.6988,0.0,1.1
30.1,2661,0.191796,68,297.2241,0.0,1.1
30.1,265b,0.192129,68,297.46,0.0,1.1
30.1,265a,0.192042,68,297.3985,0.0,1.1
30.2,2671,0.192156,68,297.4789,0.0,1.1
30.1,2671,0.192239,68,297.5377,0.0,1.1
30.1,2662,0.192287,68,297.5722,0.0,1.1
30.1,2662,0.192338,68,297.608,0.0,1.1
30.2,2671,0.192815,68,297.9459,0.0,1.1
30.1,2665,0.194815,68,299.3631,0.0,1.1
30.2,267b,0.197787,68,301.3598,0.0,1.1
30.1,264e,0.201192,68,303.6211,0.0,1.1
30.1,2658,0.204863,68,306.0592,0.0,1.1
30.1,2668,0.208672,68,308.5897,0.0,1.1
30.1,2645,0.212071,68,310.8472,0.0,1.1
30.2,2667,0.213927,68,312.0798,0.0,1.1
30.1,2667,0.213906,68,312.0659,0.0,1.1
30.1,264f,0.20341,68,305.0945,0.0,1.1
30.2,2650,0.200598,68,303.2265,0.0,1.1
30.2,2646,0.200285,68,303.0188,0.0,1.1
30.1,264d,0.200551,68,303.1955,0.0,1.1
30.1,2644,0.200669,68,303.274,0.0,1.1
30.1,265d,0.200478,68,303.1473,0.0,1.1
30.1,265b,0.200329,68,303.0479,0.0,1.1
30.1,2658,0.200554,68,303.1974,0.0,1.1
30.1,263e,0.200519,68,303.174,0.0,1.1
30.1,264c,0.200632,68,303.2493,0.0,1.1
30.1,2640,0.200518,68,303.1733,0.0,1.1
30.1,2650,0.20046,68,303.1353,0.0,1.1
30.1,2642,0.200417,68,303.1068,0.0,1.1
30.1,264e,0.200105,68,302.8991,0.0,1.1
30.1,2664,0.199778,68,302.6818,0.0,1.1
30.1,265e,0.199539,68,302.5234,0.0,1.1
30.1,265c,0.199162,68,302.2732,0.0,1.1
30.1,265f,0.19857,68,301.8799,0.0,1.1
30.1,2658,0.198333,68,301.7222,0.0,1.1
30.1,2661,0.198218,68,301.6462,0.0,1.1
30.1,2661,0.19823,68,301.6538,0.0,1.1
30.1,2662,0.19894,68,302.1257,0.0,1.1
30.1,266e,0.199473,68,302.4797,0.0,1.1
30.0,265f,0.199435,68,302.4544,0.0,1.1
30.1,2649,0.199405,68,302.4341,0.0,1.1
30.1,2664,0.199232,68,302.3195,0.0,1.1
30.1,2655,0.19909,68,302.2251,0.0,1.1
30.1,2661,0.198358,68,301.7393,0.0,1.1
30.0,2659,0.198253,68,301.669,0.0,1.1
30.0,2664,0.198206,68,301.6379,0.0,1.1
30.1,2649,0.198202,68,301.6354,0.0,1.1
30.0,265a,0.19847,68,301.8134,0.0,1.1
30.0,265a,0.198461,68,301.8077,0.0,1.1
30.0,266e,0.198431,68,301.7874,0.0,1.1
30.0,2668,0.198616,68,301.9103,0.0,1.1
30.0,2665,0.198634,68,301.9223,0.0,1.1
30.0,265e,0.198666,68,301.9439,0.0,1.1
30.1,2661,0.198972,68,302.1466,0.0,1.1
30.1,2657,0.19924,68,302.3245,0.0,1.1
30.1,2649,0.198905,68,302.1022,0.0,1.1
30.0,2655,0.19934,68,302.3911,0.0,1.1
30.0,265f,0.199536,68,302.5215,0.0,1.1
30.1,265d,0.199313,68,302.3733,0.0,1.1
30.0,2648,0.199522,68,302.512,0.0,1.1
30.1,2647,0.200107,68,302.9003,0.0,1.1
30.1,2652,0.200682,68,303.2823,0.0,1.1
30.0,264e,0.200958,68,303.466,0.0,1.1
30.0,2658,0.201299,68,303.6921,0.0,1.1
30.0,2657,0.202369,68,304.4028,0.0,1.1
29.9,2661,0.203428,68,305.1065,0.0,1.1
30.0,2653,0.204287,68,305.6772,0.0,1.1
30.0,2654,0.205088,68,306.2087,0.0,1.1
30.0,2659,0.205996,68,306.8123,0.0,1.1
29.9,266b,0.207218,68,307.6237,0.0,1.1
30.0,2660,0.208256,68,308.3129,0.0,1.1
30.0,2659,0.208137,68,308.2343,0.0,1.1
30.0,2669,0.207015,68,307.4888,0.0,1.1
30.0,265c,0.206747,68,307.3108,0.0,1.1
30.0,2657,0.207184,68,307.6009,0.0,1.1
29.9,267c,0.20756,68,307.8505,0.0,1.1
30.0,2660,0.207552,68,307.8454,0.0,1.1
30.0,2664,0.206705,68,307.2829,0.0,1.1
29.9,266a,0.206787,68,307.3374,0.0,1.1
30.0,2645,0.206283,68,307.003,0.0,1.1
30.0,266d,0.206799,68,307.3457,0.0,1.1
29.9,266e,0.206653,68,307.2481,0.0,1.1
30.0,2652,0.207574,68,307.86,0.0,1.1
29.9,2672,0.210159,68,309.5772,0.0,1.1
29.9,2676,0.215371,68,313.0388,0.0,1.1
29.9,265c,0.221036,68,316.8013,0.0,1.1
30.0,265f,0.227302,68,320.9635,0.0,1.1
29.9,2663,0.234101,68,325.4791,0.0,1.1
30.0,2656,0.241383,68,330.3152,0.0,1.1
29.9,2677,0.248921,68,335.3224,0.0,1.1
29.9,2668,0.257111,68,340.7622,0.0,1.1
29.9,2666,0.265013,68,346.01,0.0,1.1
29.9,2670,0.273373,67,351.5632,0.0,1.1
29.9,2675,0.282273,67,357.4743,0.0,1.1
29.9,267d,0.289861,67,362.6073,0.0,1.1
30.0,265d,0.294331,67,365.6743,0.0,1.1
29.9,2673,0.302729,67,371.4354,0.0,1.1
30.0,2667,0.311986,67,377.7853,0.0,1.2
30.0,2657,0.322343,67,384.8902,0.0,1.2
30.0,2650,0.33252,67,391.8721,0.0,1.2
29.9,2676,0.342494,66,398.714,0.0,1.2
29.9,2673,0.352207,66,405.3772,0.0,1.2
29.9,2666,0.361514,66,411.7618,0.0,1.2
29.9,266b,0.370052,66,417.6191,0.0,1.2
29.9,266d,0.378365,66,423.4146,0.0,1.2
30.0,266d,0.386928,66,429.4353,0.0,1.2
30.0,266b,0.39514,65,435.2087,0.0,1.2
30.0,2661,0.403053,65,440.7728,0.0,1.2
30.0,2658,0.411053,65,446.3972,0.0,1.2
30.0,266b,0.418855,65,451.8829,0.0,1.2
30.0,265b,0.426413,65,457.1976,0.0,1.2
30.0,2657,0.433686,65,462.3111,0.0,1.2
30.0,2661,0.440821,65,467.3274,0.0,1.2
30.0,2666,0.447696,65,472.1613,0.0,1.2
30.0,2670,0.453953,64,476.5607,0.0,1.2
30.0,2660,0.459073,64,480.1711,0.0,1.2
30.1,265f,0.463424,64,483.2816,0.0,1.2
30.0,265a,0.467441,64,486.1542,0.0,1.2
30.0,2669,0.472136,64,489.5109,0.0,1.2
30.0,2656,0.47732,64,493.2167,0.0,1.2
30.0,266a,0.482291,64,496.7711,0.0,1.2
30.0,2668,0.488588,64,501.2733,0.0,1.2
30.1,266c,0.495046,64,505.8908,0.0,1.2
30.0,2654,0.501611,64,510.5839,0.0,1.2
30.0,2665,0.508262,63,515.3397,0.0,1.2
30.0,2652,0.514915,63,520.0962,0.0,1.2
30.0,265e,0.521329,63,524.6816,0.0,1.2
30.1,2672,0.526889,63,528.6567,0.0,1.2
30.1,265f,0.531046,63,531.6289,0.0,1.3
30.1,2674,0.534959,63,534.4265,0.0,1.3
30.1,2663,0.538765,63,537.1477,0.0,1.3
30.1,2662,0.541887,63,539.38,0.0,1.3
30.1,2674,0.54238,63,539.7288,0.0,1.3
30.1,2679,0.535575,63,534.8669,0.0,1.3
30.1,2661,0.515262,63,520.3444,0.0,1.2
30.1,2661,0.500155,64,509.5434,0.0,1.2
30.1,2640,0.491424,64,503.3011,0.0,1.2
30.1,265f,0.473565,64,490.5323,0.0,1.2
30.1,2662,0.45606,65,478.0426,0.0,1.2
30.1,267c,0.442797,65,468.7167,0.0,1.2
30.1,2659,0.432507,65,461.4823,0.0,1.2
30.1,2671,0.428298,65,458.5226,0.0,1.2
30.1,2669,0.429239,65,459.1844,0.0,1.2
30.1,2665,0.431795,65,460.9814,0.0,1.2
30.1,264e,0.435113,65,463.3142,0.0,1.2
30.1,266a,0.438452,65,465.6618,0.0,1.2
30.1,2666,0.441642,65,467.9047,0.0,1.2
30.1,2665,0.444054,65,469.6012,0.0,1.2
30.1,2655,0.44481,65,470.1322,0.0,1.2
30.2,2676,0.438777,65,465.8904,0.0,1.2
